num,X,Y,month,day,FFMC,DMC,temp,RH,wind,rain,area,passenger,country
1,7,5,mar,fri,86.2,26.2,8.2,51,6.7,0,0,898,Portugal
2,7,4,oct,tue,90.6,35.4,18,33,0.9,0,0,71,Portugal
3,7,4,oct,sat,90.6,43.7,14.6,33,1.3,0,0,900,Portugal
4,8,6,mar,fri,91.7,33.3,8.3,97,4,0.2,0,893,Portugal
5,8,6,mar,sun,89.3,51.3,11.4,99,1.8,0,0,307,Portugal
6,8,6,aug,sun,92.3,85.3,22.2,29,5.4,0,0,320,Portugal
7,8,6,aug,mon,92.3,88.9,24.1,27,3.1,0,0,1000,Portugal
8,8,6,aug,mon,91.5,145.4,8,86,2.2,0,0,809,Portugal
9,8,6,sep,tue,91,129.5,13.1,63,5.4,0,0,917,Portugal
10,7,5,sep,sat,92.5,88,22.8,40,4,0,0,74,Portugal
11,7,5,sep,sat,92.5,88,17.8,51,7.2,0,0,276,Portugal
12,7,5,sep,sat,92.8,73.2,19.3,38,4,0,0,285,Portugal
13,6,5,aug,fri,63.5,70.8,17,72,6.7,0,0,678,Portugal
14,6,5,sep,mon,90.9,126.5,21.3,42,2.2,0,0,772,Portugal
15,6,5,sep,wed,92.9,133.3,26.4,21,4.5,0,0,619,Portugal
16,6,5,sep,fri,93.3,141.2,22.9,44,5.4,0,0,220,Portugal
17,5,5,mar,sat,91.7,35.8,15.1,27,5.4,0,0,895,Portugal
18,8,5,oct,mon,84.9,32.8,16.7,47,4.9,0,0,935,Portugal
19,6,4,mar,wed,89.2,27.9,15.9,35,4,0,0,173,Portugal
20,6,4,apr,sat,86.3,27.4,9.3,44,4.5,0,0,969,Portugal
21,6,4,sep,tue,91,129.5,18.3,40,2.7,0,0,137,Portugal
22,5,4,sep,mon,91.8,78.5,19.1,38,2.7,0,0,374,Portugal
23,7,4,jun,sun,94.3,96.3,21,44,4.5,0,0,900,Portugal
24,7,4,aug,sat,90.2,110.9,19.5,43,5.8,0,0,505,Portugal
25,7,4,aug,sat,93.5,139.4,23.7,32,5.8,0,0,687,Portugal
26,7,4,aug,sun,91.4,142.4,16.3,60,5.4,0,0,683,Portugal
27,7,4,sep,fri,92.4,117.9,19,34,5.8,0,0,726,Portugal
28,7,4,sep,mon,90.9,126.5,19.4,48,1.3,0,0,383,Portugal
29,6,3,sep,sat,93.4,145.4,30.2,24,2.7,0,0,363,Portugal
30,6,3,sep,sun,93.5,149.3,22.8,39,3.6,0,0,442,Portugal
31,6,3,sep,fri,94.3,85.1,25.4,24,3.6,0,0,754,Portugal
32,6,3,sep,mon,88.6,91.8,11.2,78,7.6,0,0,183,Portugal
33,6,3,sep,fri,88.6,69.7,20.6,37,1.8,0,0,741,Portugal
34,6,3,sep,sun,91.7,75.6,17.7,39,3.6,0,0,521,Portugal
35,6,3,sep,mon,91.8,78.5,21.2,32,2.7,0,0,773,Portugal
36,6,3,sep,tue,90.3,80.7,18.2,62,4.5,0,0,993,Portugal
37,6,3,oct,tue,90.6,35.4,21.7,24,4.5,0,0,851,Portugal
38,7,4,oct,fri,90,41.5,11.3,60,5.4,0,0,753,Portugal
39,7,3,oct,sat,90.6,43.7,17.8,27,4,0,0,128,Portugal
40,4,4,mar,tue,88.1,25.7,14.1,43,2.7,0,0,325,Portugal
41,4,4,jul,tue,79.5,60.6,23.3,37,3.1,0,0,804,Portugal
42,4,4,aug,sat,90.2,96.9,18.4,42,6.7,0,0,612,Portugal
43,4,4,aug,tue,94.8,108.3,16.6,54,5.4,0,0,284,Portugal
44,4,4,sep,sat,92.5,88,19.6,48,2.7,0,0,762,Portugal
45,4,4,sep,wed,90.1,82.9,12.9,74,4.9,0,0,436,Portugal
46,5,6,sep,wed,94.3,85.1,25.9,24,4,0,0,713,Portugal
47,5,6,sep,mon,90.9,126.5,14.7,70,3.6,0,0,861,Portugal
48,6,6,jul,mon,94.2,62.3,23,36,3.1,0,0,127,Portugal
49,4,4,mar,mon,87.2,23.9,11.8,35,1.8,0,0,964,Portugal
50,4,4,mar,mon,87.6,52.2,11,46,5.8,0,0,858,Portugal
51,4,4,sep,thu,92.9,137,20.8,17,1.3,0,0,476,Portugal
52,4,3,aug,sun,90.2,99.6,21.5,34,2.2,0,0,596,Portugal
53,4,3,aug,wed,92.1,111.2,20.4,42,4.9,0,0,887,Portugal
54,4,3,aug,wed,92.1,111.2,20.4,42,4.9,0,0,390,Portugal
55,4,3,aug,thu,91.7,114.3,17.6,45,3.6,0,0,423,Portugal
56,4,3,sep,thu,92.9,137,27.7,24,2.2,0,0,616,Portugal
57,4,3,sep,tue,90.3,80.7,17.8,63,4.9,0,0,349,Portugal
58,4,3,oct,sun,92.6,46.5,13.8,50,2.7,0,0,329,Portugal
59,2,2,feb,mon,84,9.3,13.9,40,5.4,0,0,201,Portugal
60,2,2,feb,fri,86.6,13.2,12.3,51,0.9,0,0,937,Portugal
61,2,2,mar,sun,89.3,51.3,11.5,39,5.8,0,0,209,Portugal
62,2,2,mar,sun,89.3,51.3,5.5,59,6.3,0,0,601,Portugal
63,2,2,aug,thu,93,75.3,18.8,35,4.9,0,0,845,Portugal
64,2,2,aug,sun,90.2,99.6,20.8,33,2.7,0,0,451,Portugal
65,2,2,aug,mon,91.1,103.2,23.1,31,3.1,0,0,932,Portugal
66,2,2,aug,thu,91.7,114.3,18.6,44,4.5,0,0,563,Portugal
67,2,2,sep,fri,92.4,117.9,23,37,4.5,0,0,230,Portugal
68,2,2,sep,fri,92.4,117.9,19.6,33,5.4,0,0,952,Portugal
69,2,2,sep,fri,92.4,117.9,19.6,33,6.3,0,0,825,Portugal
70,4,5,mar,fri,91.7,33.3,17.2,26,4.5,0,0,594,Portugal
71,4,5,mar,fri,91.2,48.3,15.8,27,7.6,0,0,537,Portugal
72,4,5,sep,fri,94.3,85.1,17.7,37,3.6,0,0,725,Portugal
73,5,4,mar,fri,91.7,33.3,15.6,25,6.3,0,0,587,Portugal
74,5,4,aug,tue,88.8,147.3,17.3,43,4.5,0,0,520,Portugal
75,5,4,sep,fri,93.3,141.2,27.6,30,1.3,0,0,244,Portugal
76,9,9,feb,thu,84.2,6.8,6.7,79,3.1,0,0,561,Portugal
77,9,9,feb,fri,86.6,13.2,15.7,43,3.1,0,0,379,Portugal
78,1,3,mar,mon,87.6,52.2,8.3,72,3.1,0,0,537,Portugal
79,1,2,aug,fri,90.1,108,14.7,66,2.7,0,0,752,Portugal
80,1,2,aug,tue,91,121.2,21.6,19,6.7,0,0,464,Portugal
81,1,2,aug,sun,91.4,142.4,19.5,39,6.3,0,0,446,Portugal
82,1,2,aug,sun,90.2,99.6,17.9,44,2.2,0,0,594,Portugal
83,1,2,aug,tue,94.8,108.3,18.6,51,4.5,0,0,489,Portugal
84,1,2,aug,wed,92.1,111.2,16.6,47,0.9,0,0,614,Portugal
85,1,2,aug,thu,91.7,114.3,20.2,45,3.6,0,0,867,Portugal
86,1,2,sep,thu,92.9,137,21.5,15,0.9,0,0,815,Portugal
87,1,2,sep,thu,92.9,137,25.4,27,2.2,0,0,390,Portugal
88,1,2,sep,thu,92.9,137,22.4,34,2.2,0,0,190,Portugal
89,1,2,sep,sun,93.5,149.3,25.3,36,3.6,0,0,958,Portugal
90,6,5,mar,sat,91.7,35.8,17.4,25,4.9,0,0,352,Portugal
91,6,5,aug,sat,90.2,96.9,14.7,59,5.8,0,0,631,Portugal
92,8,6,mar,fri,91.7,35.8,17.4,24,5.4,0,0,981,Portugal
93,8,6,aug,sun,92.3,85.3,20.8,32,6.3,0,0,292,Portugal
94,8,6,aug,sun,91.4,142.4,18.2,43,4.9,0,0,509,Portugal
95,8,6,aug,mon,91.1,103.2,23.4,22,2.7,0,0,112,Portugal
96,4,4,sep,sun,89.7,90,17.8,64,1.3,0,0,438,Portugal
97,3,4,feb,sat,83.9,8,12.7,48,1.8,0,0,969,Portugal
98,3,4,mar,sat,69,2.4,17.4,24,5.4,0,0,269,Portugal
