num,X,Y,DC,ISI,country
1,7,5,94.3,5.1,Portugal
2,7,4,669.1,6.7,Portugal
3,7,4,686.9,6.7,Portugal
4,8,6,77.5,9,Portugal
5,8,6,102.2,9.6,Portugal
6,8,6,488,14.7,Portugal
7,8,6,495.6,8.5,Portugal
8,8,6,608.2,10.7,Portugal
9,8,6,692.6,7,Portugal
10,7,5,698.6,7.1,Portugal
11,7,5,698.6,7.1,Portugal
12,7,5,713,22.6,Portugal
13,6,5,665.3,0.8,Portugal
14,6,5,686.5,7,Portugal
15,6,5,699.6,9.2,Portugal
16,6,5,713.9,13.9,Portugal
17,5,5,80.8,7.8,Portugal
18,8,5,664.2,3,Portugal
19,6,4,70.8,6.3,Portugal
20,6,4,97.1,5.1,Portugal
21,6,4,692.6,7,Portugal
22,5,4,724.3,9.2,Portugal
23,7,4,200,56.1,Portugal
24,7,4,537.4,6.2,Portugal
25,7,4,594.2,20.3,Portugal
26,7,4,601.4,10.6,Portugal
27,7,4,668,12.2,Portugal
28,7,4,686.5,7,Portugal
29,6,3,721.4,8.1,Portugal
30,6,3,728.6,8.1,Portugal
31,6,3,692.3,15.9,Portugal
32,6,3,709.9,7.1,Portugal
33,6,3,706.8,5.8,Portugal
34,6,3,718.3,7.8,Portugal
35,6,3,724.3,9.2,Portugal
36,6,3,730.2,6.3,Portugal
37,6,3,669.1,6.7,Portugal
38,7,4,682.6,8.7,Portugal
39,7,3,686.9,6.7,Portugal
40,4,4,67.6,3.8,Portugal
41,4,4,366.7,1.5,Portugal
42,4,4,624.2,8.9,Portugal
43,4,4,647.1,17,Portugal
44,4,4,698.6,7.1,Portugal
45,4,4,735.7,6.2,Portugal
46,5,6,692.3,15.9,Portugal
47,5,6,686.5,7,Portugal
48,6,6,442.9,11,Portugal
49,4,4,64.7,4.1,Portugal
50,4,4,103.8,5,Portugal
51,4,4,706.4,9.2,Portugal
52,4,3,631.2,6.3,Portugal
53,4,3,654.1,9.6,Portugal
54,4,3,654.1,9.6,Portugal
55,4,3,661.3,6.3,Portugal
56,4,3,706.4,9.2,Portugal
57,4,3,730.2,6.3,Portugal
58,4,3,691.8,8.8,Portugal
59,2,2,34,2.1,Portugal
60,2,2,43,5.3,Portugal
61,2,2,102.2,9.6,Portugal
62,2,2,102.2,9.6,Portugal
63,2,2,466.6,7.7,Portugal
64,2,2,631.2,6.3,Portugal
65,2,2,638.8,5.8,Portugal
66,2,2,661.3,6.3,Portugal
67,2,2,668,12.2,Portugal
68,2,2,668,12.2,Portugal
69,2,2,668,12.2,Portugal
70,4,5,77.5,9,Portugal
71,4,5,97.8,12.5,Portugal
72,4,5,692.3,15.9,Portugal
73,5,4,77.5,9,Portugal
74,5,4,614.5,9,Portugal
75,5,4,713.9,13.9,Portugal
76,9,9,26.6,7.7,Portugal
77,9,9,43,5.3,Portugal
78,1,3,103.8,5,Portugal
79,1,2,529.8,12.5,Portugal
80,1,2,561.6,7,Portugal
81,1,2,601.4,10.6,Portugal
82,1,2,631.2,6.3,Portugal
83,1,2,647.1,17,Portugal
84,1,2,654.1,9.6,Portugal
